"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2017 00:00 - 01/01/2017 01:00","MBA|NO1","FCR","40.00","25.83","40.00",""
"01/01/2017 01:00 - 01/01/2017 02:00","MBA|NO1","FCR","40.40","16.26","40.40",""
"01/01/2017 02:00 - 01/01/2017 03:00","MBA|NO1","FCR","40.00","0.00","40.00","0.96"
"01/01/2017 03:00 - 01/01/2017 04:00","MBA|NO1","FCR","40.20","0.00","40.20","4.78"
"01/01/2017 04:00 - 01/01/2017 05:00","MBA|NO1","FCR","41.00","3.91","41.00",""
"01/01/2017 05:00 - 01/01/2017 06:00","MBA|NO1","FCR","40.20","0.00","40.20","5.74"
"01/01/2017 06:00 - 01/01/2017 07:00","MBA|NO1","FCR","40.00","6.70","40.00",""
"01/01/2017 07:00 - 01/01/2017 08:00","MBA|NO1","FCR","41.20","3.98","41.20",""
"01/01/2017 08:00 - 01/01/2017 09:00","MBA|NO1","FCR","43.10","9.23","43.10",""
"01/01/2017 09:00 - 01/01/2017 10:00","MBA|NO1","FCR","38.40","11.11","38.40",""
"01/01/2017 10:00 - 01/01/2017 11:00","MBA|NO1","FCR","38.10","20.36","38.10",""
"01/01/2017 11:00 - 01/01/2017 12:00","MBA|NO1","FCR","42.30","0.00","42.30","2.04"
"01/01/2017 12:00 - 01/01/2017 13:00","MBA|NO1","FCR","40.20","2.93","40.20",""
"01/01/2017 13:00 - 01/01/2017 14:00","MBA|NO1","FCR","42.10","0.00","42.10","9.19"
"01/01/2017 14:00 - 01/01/2017 15:00","MBA|NO1","FCR","42.40","0.00","42.40","9.19"
"01/01/2017 15:00 - 01/01/2017 16:00","MBA|NO1","FCR","42.10","7.02","42.10",""
"01/01/2017 16:00 - 01/01/2017 17:00","MBA|NO1","FCR","44.30","0.00","44.30","16.85"
"01/01/2017 17:00 - 01/01/2017 18:00","MBA|NO1","FCR","42.20","0.00","42.20","2.01"
"01/01/2017 18:00 - 01/01/2017 19:00","MBA|NO1","FCR","42.30","0.00","42.30","7.02"
"01/01/2017 19:00 - 01/01/2017 20:00","MBA|NO1","FCR","42.10","0.00","42.10","3.01"
"01/01/2017 20:00 - 01/01/2017 21:00","MBA|NO1","FCR","39.30","0.00","39.30","1.95"
"01/01/2017 21:00 - 01/01/2017 22:00","MBA|NO1","FCR","39.20","11.71","39.20",""
"01/01/2017 22:00 - 01/01/2017 23:00","MBA|NO1","FCR","41.30","0.00","41.30","5.10"
"01/01/2017 23:00 - 02/01/2017 00:00","MBA|NO1","FCR","40.10","4.92","40.10",""
"02/01/2017 00:00 - 02/01/2017 01:00","MBA|NO1","FCR","39.10","0.00","39.10","23.66"
"02/01/2017 01:00 - 02/01/2017 02:00","MBA|NO1","FCR","39.40","2.94","39.40",""
"02/01/2017 02:00 - 02/01/2017 03:00","MBA|NO1","FCR","39.10","28.44","39.10",""
"02/01/2017 03:00 - 02/01/2017 04:00","MBA|NO1","FCR","39.40","22.56","39.40",""
"02/01/2017 04:00 - 02/01/2017 05:00","MBA|NO1","FCR","41.10","4.04","41.10",""
"02/01/2017 05:00 - 02/01/2017 06:00","MBA|NO1","FCR","43.30","0.00","43.30","27.64"
"02/01/2017 06:00 - 02/01/2017 07:00","MBA|NO1","FCR","49.20","0.00","49.20","11.01"
"02/01/2017 07:00 - 02/01/2017 08:00","MBA|NO1","FCR","52.40","0.00","52.40","5.27"
"02/01/2017 08:00 - 02/01/2017 09:00","MBA|NO1","FCR","51.10","0.00","51.10","25.07"
"02/01/2017 09:00 - 02/01/2017 10:00","MBA|NO1","FCR","51.50","6.65","51.50",""
"02/01/2017 10:00 - 02/01/2017 11:00","MBA|NO1","FCR","51.10","21.26","51.10",""
"02/01/2017 11:00 - 02/01/2017 12:00","MBA|NO1","FCR","51.40","0.00","51.40","15.95"
"02/01/2017 12:00 - 02/01/2017 13:00","MBA|NO1","FCR","51.50","0.00","51.50","15.86"
"02/01/2017 13:00 - 02/01/2017 14:00","MBA|NO1","FCR","51.90","3.97","51.90",""
"02/01/2017 14:00 - 02/01/2017 15:00","MBA|NO1","FCR","51.50","19.82","51.50",""
"02/01/2017 15:00 - 02/01/2017 16:00","MBA|NO1","FCR","51.80","14.54","51.80",""
"02/01/2017 16:00 - 02/01/2017 17:00","MBA|NO1","FCR","48.60","25.26","48.60",""
"02/01/2017 17:00 - 02/01/2017 18:00","MBA|NO1","FCR","48.50","6.65","48.50",""
"02/01/2017 18:00 - 02/01/2017 19:00","MBA|NO1","FCR","48.50","0.00","48.50","15.86"
"02/01/2017 19:00 - 02/01/2017 20:00","MBA|NO1","FCR","48.10","11.89","48.10",""
"02/01/2017 20:00 - 02/01/2017 21:00","MBA|NO1","FCR","48.40","0.00","48.40","15.86"
"02/01/2017 21:00 - 02/01/2017 22:00","MBA|NO1","FCR","48.10","21.15","48.10",""
"02/01/2017 22:00 - 02/01/2017 23:00","MBA|NO1","FCR","47.50","10.95","47.50",""
"02/01/2017 23:00 - 03/01/2017 00:00","MBA|NO1","FCR","46.90","22.88","46.90",""
"03/01/2017 00:00 - 03/01/2017 01:00","MBA|NO1","FCR","48.50","22.36","48.50",""
"03/01/2017 01:00 - 03/01/2017 02:00","MBA|NO1","FCR","48.90","0.00","48.90","25.89"
"03/01/2017 02:00 - 03/01/2017 03:00","MBA|NO1","FCR","50.50","0.00","50.50","34.34"
"03/01/2017 03:00 - 03/01/2017 04:00","MBA|NO1","FCR","50.80","0.00","50.80","14.72"
"03/01/2017 04:00 - 03/01/2017 05:00","MBA|NO1","FCR","47.50","0.00","47.50","16.55"
"03/01/2017 05:00 - 03/01/2017 06:00","MBA|NO1","FCR","45.90","0.00","45.90","42.25"
"03/01/2017 06:00 - 03/01/2017 07:00","MBA|NO1","FCR","41.10","0.00","41.10","9.71"
"03/01/2017 07:00 - 03/01/2017 08:00","MBA|NO1","FCR","43.40","15.85","43.40",""
"03/01/2017 08:00 - 03/01/2017 09:00","MBA|NO1","FCR","49.20","7.59","49.20",""
"03/01/2017 09:00 - 03/01/2017 10:00","MBA|NO1","FCR","49.30","0.00","49.30","10.11"
"03/01/2017 10:00 - 03/01/2017 11:00","MBA|NO1","FCR","49.20","0.00","49.20","16.44"
"03/01/2017 11:00 - 03/01/2017 12:00","MBA|NO1","FCR","52.30","0.00","52.30","13.12"
"03/01/2017 12:00 - 03/01/2017 13:00","MBA|NO1","FCR","53.20","0.00","53.20","13.66"
"03/01/2017 13:00 - 03/01/2017 14:00","MBA|NO1","FCR","50.40","0.00","50.40","1.27"
"03/01/2017 14:00 - 03/01/2017 15:00","MBA|NO1","FCR","50.20","0.00","50.20",""
"03/01/2017 15:00 - 03/01/2017 16:00","MBA|NO1","FCR","51.50","0.00","51.50","6.37"
"03/01/2017 16:00 - 03/01/2017 17:00","MBA|NO1","FCR","51.10","0.00","51.10","14.46"
"03/01/2017 17:00 - 03/01/2017 18:00","MBA|NO1","FCR","42.10","0.00","42.10",""
"03/01/2017 18:00 - 03/01/2017 19:00","MBA|NO1","FCR","42.10","0.00","42.10","17.51"
"03/01/2017 19:00 - 03/01/2017 20:00","MBA|NO1","FCR","45.50","0.00","45.50","8.10"
"03/01/2017 20:00 - 03/01/2017 21:00","MBA|NO1","FCR","43.10","0.00","43.10","8.95"
"03/01/2017 21:00 - 03/01/2017 22:00","MBA|NO1","FCR","45.40","0.00","45.40","17.39"
"03/01/2017 22:00 - 03/01/2017 23:00","MBA|NO1","FCR","51.10","0.00","51.10","26.97"
"03/01/2017 23:00 - 04/01/2017 00:00","MBA|NO1","FCR","51.90","0.00","51.90","11.56"
