"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2016 00:00 - 01/01/2016 01:00","MBA|NO1","FCR","36.00","","36.00","4.80"
"01/01/2016 01:00 - 01/01/2016 02:00","MBA|NO1","FCR","36.00","","36.00","13.45"
"01/01/2016 02:00 - 01/01/2016 03:00","MBA|NO1","FCR","36.00","","36.00","7.54"
"01/01/2016 03:00 - 01/01/2016 04:00","MBA|NO1","FCR","35.00","","35.00","13.09"
"01/01/2016 04:00 - 01/01/2016 05:00","MBA|NO1","FCR","35.00","","35.00","8.42"
"01/01/2016 05:00 - 01/01/2016 06:00","MBA|NO1","FCR","36.00","","36.00","8.49"
"01/01/2016 06:00 - 01/01/2016 07:00","MBA|NO1","FCR","35.00","","35.00","21.51"
"01/01/2016 07:00 - 01/01/2016 08:00","MBA|NO1","FCR","38.00","","38.00","15.92"
"01/01/2016 08:00 - 01/01/2016 09:00","MBA|NO1","FCR","40.50","10.52","40.50",""
"01/01/2016 09:00 - 01/01/2016 10:00","MBA|NO1","FCR","40.40","12.61","40.40",""
"01/01/2016 10:00 - 01/01/2016 11:00","MBA|NO1","FCR","40.50","19.97","40.50",""
"01/01/2016 11:00 - 01/01/2016 12:00","MBA|NO1","FCR","41.20","23.69","41.20",""
"01/01/2016 12:00 - 01/01/2016 13:00","MBA|NO1","FCR","41.40","18.29","41.40",""
"01/01/2016 13:00 - 01/01/2016 14:00","MBA|NO1","FCR","40.50","14.00","40.50",""
"01/01/2016 14:00 - 01/01/2016 15:00","MBA|NO1","FCR","40.40","1.08","40.40",""
"01/01/2016 15:00 - 01/01/2016 16:00","MBA|NO1","FCR","46.50","22.25","46.50",""
"01/01/2016 16:00 - 01/01/2016 17:00","MBA|NO1","FCR","46.40","11.13","46.40",""
"01/01/2016 17:00 - 01/01/2016 18:00","MBA|NO1","FCR","41.50","","41.50","14.87"
"01/01/2016 18:00 - 01/01/2016 19:00","MBA|NO1","FCR","41.40","","41.40","22.87"
"01/01/2016 19:00 - 01/01/2016 20:00","MBA|NO1","FCR","40.20","","40.20","16.61"
"01/01/2016 20:00 - 01/01/2016 21:00","MBA|NO1","FCR","37.50","","37.50","14.23"
"01/01/2016 21:00 - 01/01/2016 22:00","MBA|NO1","FCR","39.40","","39.40","2.15"
"01/01/2016 22:00 - 01/01/2016 23:00","MBA|NO1","FCR","39.50","","39.50","17.54"
"01/01/2016 23:00 - 02/01/2016 00:00","MBA|NO1","FCR","40.40","1.07","40.40",""
"02/01/2016 00:00 - 02/01/2016 01:00","MBA|NO1","FCR","36.40","6.71","36.40",""
"02/01/2016 01:00 - 02/01/2016 02:00","MBA|NO1","FCR","35.50","20.15","35.50",""
"02/01/2016 02:00 - 02/01/2016 03:00","MBA|NO1","FCR","31.40","","31.40","14.02"
"02/01/2016 03:00 - 02/01/2016 04:00","MBA|NO1","FCR","37.50","","37.50","17.15"
"02/01/2016 04:00 - 02/01/2016 05:00","MBA|NO1","FCR","35.40","","35.40","9.50"
"02/01/2016 05:00 - 02/01/2016 06:00","MBA|NO1","FCR","37.50","5.01","37.50",""
"02/01/2016 06:00 - 02/01/2016 07:00","MBA|NO1","FCR","35.40","0.00","35.40",""
"02/01/2016 07:00 - 02/01/2016 08:00","MBA|NO1","FCR","35.20","8.55","35.20",""
"02/01/2016 08:00 - 02/01/2016 09:00","MBA|NO1","FCR","37.50","1.03","37.50",""
"02/01/2016 09:00 - 02/01/2016 10:00","MBA|NO1","FCR","39.40","18.25","39.40",""
"02/01/2016 10:00 - 02/01/2016 11:00","MBA|NO1","FCR","39.40","11.81","39.40",""
