"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2023 00:00 - 01/01/2023 01:00","MBA|NO1","FCR","27.80","6.26","27.80",""
"01/01/2023 01:00 - 01/01/2023 02:00","MBA|NO1","FCR","28.00","0.00","28.00","15.40"
"01/01/2023 02:00 - 01/01/2023 03:00","MBA|NO1","FCR","24.80","4.34","24.80",""
"01/01/2023 03:00 - 01/01/2023 04:00","MBA|NO1","FCR","25.90","0.00","25.90","1.94"
"01/01/2023 04:00 - 01/01/2023 05:00","MBA|NO1","FCR","24.80","9.30","24.80",""
"01/01/2023 05:00 - 01/01/2023 06:00","MBA|NO1","FCR","27.00","0.00","27.00","6.08"
"01/01/2023 06:00 - 01/01/2023 07:00","MBA|NO1","FCR","26.70","0.00","26.70","1.34"
"01/01/2023 07:00 - 01/01/2023 08:00","MBA|NO1","FCR","27.10","1.36","27.10",""
"01/01/2023 08:00 - 01/01/2023 09:00","MBA|NO1","FCR","24.70","0.62","24.70",""
"01/01/2023 09:00 - 01/01/2023 10:00","MBA|NO1","FCR","28.80","2.16","28.80",""
"01/01/2023 10:00 - 01/01/2023 11:00","MBA|NO1","FCR","29.00","2.90","29.00",""
"01/01/2023 11:00 - 01/01/2023 12:00","MBA|NO1","FCR","28.80","2.16","28.80",""
"01/01/2023 12:00 - 01/01/2023 13:00","MBA|NO1","FCR","31.00","0.00","31.00",""
"01/01/2023 13:00 - 01/01/2023 14:00","MBA|NO1","FCR","30.80","6.93","30.80",""
"01/01/2023 14:00 - 01/01/2023 15:00","MBA|NO1","FCR","29.90","3.74","29.90",""
"01/01/2023 15:00 - 01/01/2023 16:00","MBA|NO1","FCR","29.80","2.98","29.80",""
"01/01/2023 16:00 - 01/01/2023 17:00","MBA|NO1","FCR","26.00","5.20","26.00",""
"01/01/2023 17:00 - 01/01/2023 18:00","MBA|NO1","FCR","26.70","0.00","26.70","4.67"
"01/01/2023 18:00 - 01/01/2023 19:00","MBA|NO1","FCR","28.10","0.00","28.10","7.73"
"01/01/2023 19:00 - 01/01/2023 20:00","MBA|NO1","FCR","32.80","0.00","32.80","9.02"
"01/01/2023 20:00 - 01/01/2023 21:00","MBA|NO1","FCR","31.00","1.55","31.00",""
"01/01/2023 21:00 - 01/01/2023 22:00","MBA|NO1","FCR","28.80","7.92","28.80",""
