"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2022 00:00 - 01/01/2022 01:00","MBA|NO1","FCR","32.30","0.00","32.30","4.04"
"01/01/2022 01:00 - 01/01/2022 02:00","MBA|NO1","FCR","32.20","0.00","32.20","4.03"
"01/01/2022 02:00 - 01/01/2022 03:00","MBA|NO1","FCR","34.00","0.00","34.00","0.85"
"01/01/2022 03:00 - 01/01/2022 04:00","MBA|NO1","FCR","34.00","0.00","34.00","7.65"
"01/01/2022 04:00 - 01/01/2022 05:00","MBA|NO1","FCR","33.70","0.00","33.70","6.74"
"01/01/2022 05:00 - 01/01/2022 06:00","MBA|NO1","FCR","34.00","0.00","34.00","5.95"
"01/01/2022 06:00 - 01/01/2022 07:00","MBA|NO1","FCR","33.90","0.00","33.90","15.26"
"01/01/2022 07:00 - 01/01/2022 08:00","MBA|NO1","FCR","34.90","0.00","34.90","14.83"
"01/01/2022 08:00 - 01/01/2022 09:00","MBA|NO1","FCR","35.00","0.00","35.00","6.13"
"01/01/2022 09:00 - 01/01/2022 10:00","MBA|NO1","FCR","33.20","10.79","33.20",""
"01/01/2022 10:00 - 01/01/2022 11:00","MBA|NO1","FCR","37.50","12.19","37.50",""
"01/01/2022 11:00 - 01/01/2022 12:00","MBA|NO1","FCR","39.00","2.93","39.00",""
"01/01/2022 12:00 - 01/01/2022 13:00","MBA|NO1","FCR","39.00","3.90","39.00",""
"01/01/2022 13:00 - 01/01/2022 14:00","MBA|NO1","FCR","36.80","1.84","36.80",""
"01/01/2022 14:00 - 01/01/2022 15:00","MBA|NO1","FCR","34.90","19.20","34.90",""
"01/01/2022 15:00 - 01/01/2022 16:00","MBA|NO1","FCR","35.00","6.13","35.00",""
"01/01/2022 16:00 - 01/01/2022 17:00","MBA|NO1","FCR","35.20","0.00","35.20","3.52"
"01/01/2022 17:00 - 01/01/2022 18:00","MBA|NO1","FCR","33.20","0.00","33.20","0.83"
"01/01/2022 18:00 - 01/01/2022 19:00","MBA|NO1","FCR","38.00","0.00","38.00","13.30"
"01/01/2022 19:00 - 01/01/2022 20:00","MBA|NO1","FCR","34.90","0.00","34.90","8.73"
"01/01/2022 20:00 - 01/01/2022 21:00","MBA|NO1","FCR","31.10","0.00","31.10","13.22"
"01/01/2022 21:00 - 01/01/2022 22:00","MBA|NO1","FCR","34.80","0.00","34.80","11.31"
"01/01/2022 22:00 - 01/01/2022 23:00","MBA|NO1","FCR","34.20","0.00","34.20","13.68"
"01/01/2022 23:00 - 02/01/2022 00:00","MBA|NO1","FCR","34.90","0.87","34.90",""
"02/01/2022 00:00 - 02/01/2022 01:00","MBA|NO1","FCR","32.30","20.19","32.30",""
"02/01/2022 01:00 - 02/01/2022 02:00","MBA|NO1","FCR","33.30","9.99","33.30",""
"02/01/2022 02:00 - 02/01/2022 03:00","MBA|NO1","FCR","33.60","0.00","33.60","5.88"
"02/01/2022 03:00 - 02/01/2022 04:00","MBA|NO1","FCR","32.30","0.00","32.30","21.80"
"02/01/2022 04:00 - 02/01/2022 05:00","MBA|NO1","FCR","32.40","0.00","32.40","17.82"
"02/01/2022 05:00 - 02/01/2022 06:00","MBA|NO1","FCR","32.20","2.42","32.20",""
"02/01/2022 06:00 - 02/01/2022 07:00","MBA|NO1","FCR","31.20","17.16","31.20",""
"02/01/2022 07:00 - 02/01/2022 08:00","MBA|NO1","FCR","32.00","13.60","32.00",""
"02/01/2022 08:00 - 02/01/2022 09:00","MBA|NO1","FCR","33.30","9.16","33.30",""
"02/01/2022 09:00 - 02/01/2022 10:00","MBA|NO1","FCR","33.40","7.52","33.40",""
"02/01/2022 10:00 - 02/01/2022 11:00","MBA|NO1","FCR","32.40","12.15","32.40",""
"02/01/2022 11:00 - 02/01/2022 12:00","MBA|NO1","FCR","30.20","3.78","30.20",""
"02/01/2022 12:00 - 02/01/2022 13:00","MBA|NO1","FCR","32.00","7.20","32.00",""
"02/01/2022 13:00 - 02/01/2022 14:00","MBA|NO1","FCR","30.40","19.00","30.40",""
"02/01/2022 14:00 - 02/01/2022 15:00","MBA|NO1","FCR","30.30","12.88","30.30",""
"02/01/2022 15:00 - 02/01/2022 16:00","MBA|NO1","FCR","30.20","0.00","30.20","6.80"
"02/01/2022 16:00 - 02/01/2022 17:00","MBA|NO1","FCR","30.20","0.00","30.20","0.76"
"02/01/2022 17:00 - 02/01/2022 18:00","MBA|NO1","FCR","30.10","0.00","30.10","1.51"
"02/01/2022 18:00 - 02/01/2022 19:00","MBA|NO1","FCR","30.40","0.00","30.40","9.12"
"02/01/2022 19:00 - 02/01/2022 20:00","MBA|NO1","FCR","31.20","0.00","31.20","11.70"
"02/01/2022 20:00 - 02/01/2022 21:00","MBA|NO1","FCR","30.30","0.00","30.30","5.30"
"02/01/2022 21:00 - 02/01/2022 22:00","MBA|NO1","FCR","33.10","0.00","33.10","2.48"
"02/01/2022 22:00 - 02/01/2022 23:00","MBA|NO1","FCR","31.20","4.68","31.20",""
"02/01/2022 23:00 - 03/01/2022 00:00","MBA|NO1","FCR","33.60","0.00","33.60","20.16"
"03/01/2022 00:00 - 03/01/2022 01:00","MBA|NO1","FCR","31.70","0.00","31.70","12.68"
"03/01/2022 01:00 - 03/01/2022 02:00","MBA|NO1","FCR","31.50","0.00","31.50","7.09"
"03/01/2022 02:00 - 03/01/2022 03:00","MBA|NO1","FCR","31.60","8.69","31.60",""
"03/01/2022 03:00 - 03/01/2022 04:00","MBA|NO1","FCR","31.60","16.59","31.60",""
"03/01/2022 04:00 - 03/01/2022 05:00","MBA|NO1","FCR","30.70","4.61","30.70",""
"03/01/2022 05:00 - 03/01/2022 06:00","MBA|NO1","FCR","33.60","2.52","33.60",""
"03/01/2022 06:00 - 03/01/2022 07:00","MBA|NO1","FCR","34.20","3.42","34.20",""
"03/01/2022 07:00 - 03/01/2022 08:00","MBA|NO1","FCR","28.90","12.28","28.90",""
"03/01/2022 08:00 - 03/01/2022 09:00","MBA|NO1","FCR","33.50","0.00","33.50","1.68"
"03/01/2022 09:00 - 03/01/2022 10:00","MBA|NO1","FCR","31.10","0.00","31.10","7.00"
"03/01/2022 10:00 - 03/01/2022 11:00","MBA|NO1","FCR","31.20","3.90","31.20",""
"03/01/2022 11:00 - 03/01/2022 12:00","MBA|NO1","FCR","31.20","9.36","31.20",""
"03/01/2022 12:00 - 03/01/2022 13:00","MBA|NO1","FCR","29.30","7.33","29.30",""
"03/01/2022 13:00 - 03/01/2022 14:00","MBA|NO1","FCR","29.20","0.00","29.20","0.73"
"03/01/2022 14:00 - 03/01/2022 15:00","MBA|NO1","FCR","31.20","8.58","31.20",""
"03/01/2022 15:00 - 03/01/2022 16:00","MBA|NO1","FCR","34.10","0.00","34.10","3.41"
"03/01/2022 16:00 - 03/01/2022 17:00","MBA|NO1","FCR","35.40","2.66","35.40",""
"03/01/2022 17:00 - 03/01/2022 18:00","MBA|NO1","FCR","32.20","4.03","32.20",""
"03/01/2022 18:00 - 03/01/2022 19:00","MBA|NO1","FCR","34.20","0.00","34.20","3.42"
"03/01/2022 19:00 - 03/01/2022 20:00","MBA|NO1","FCR","36.00","8.10","36.00",""
"03/01/2022 20:00 - 03/01/2022 21:00","MBA|NO1","FCR","36.20","4.53","36.20",""
"03/01/2022 21:00 - 03/01/2022 22:00","MBA|NO1","FCR","34.30","0.00","34.30","6.86"
