"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"03/01/2022 22:00 - 03/01/2022 23:00","MBA|NO1","FCR","31.30","0.00","31.30","7.04"
"03/01/2022 23:00 - 04/01/2022 00:00","MBA|NO1","FCR","36.10","0.00","36.10","2.71"
"04/01/2022 00:00 - 04/01/2022 01:00","MBA|NO1","FCR","34.10","9.38","34.10",""
"04/01/2022 01:00 - 04/01/2022 02:00","MBA|NO1","FCR","32.30","4.85","32.30",""
"04/01/2022 02:00 - 04/01/2022 03:00","MBA|NO1","FCR","32.20","10.47","32.20",""
"04/01/2022 03:00 - 04/01/2022 04:00","MBA|NO1","FCR","30.00","0.00","30.00","1.50"
"04/01/2022 04:00 - 04/01/2022 05:00","MBA|NO1","FCR","34.00","12.75","34.00",""
"04/01/2022 05:00 - 04/01/2022 06:00","MBA|NO1","FCR","37.10","0.93","37.10",""
"04/01/2022 06:00 - 04/01/2022 07:00","MBA|NO1","FCR","32.00","12.00","32.00",""
"04/01/2022 07:00 - 04/01/2022 08:00","MBA|NO1","FCR","28.80","0.00","28.80","6.48"
"04/01/2022 08:00 - 04/01/2022 09:00","MBA|NO1","FCR","33.90","0.00","33.90","9.32"
"04/01/2022 09:00 - 04/01/2022 10:00","MBA|NO1","FCR","34.60","0.00","34.60","9.52"
"04/01/2022 10:00 - 04/01/2022 11:00","MBA|NO1","FCR","33.70","0.00","33.70","5.90"
"04/01/2022 11:00 - 04/01/2022 12:00","MBA|NO1","FCR","31.60","0.00","31.60","4.74"
"04/01/2022 12:00 - 04/01/2022 13:00","MBA|NO1","FCR","33.60","0.00","33.60","14.28"
"04/01/2022 13:00 - 04/01/2022 14:00","MBA|NO1","FCR","31.70","3.17","31.70",""
"04/01/2022 14:00 - 04/01/2022 15:00","MBA|NO1","FCR","31.20","0.78","31.20",""
"04/01/2022 15:00 - 04/01/2022 16:00","MBA|NO1","FCR","33.80","7.61","33.80",""
"04/01/2022 16:00 - 04/01/2022 17:00","MBA|NO1","FCR","31.30","0.78","31.30",""
"04/01/2022 17:00 - 04/01/2022 18:00","MBA|NO1","FCR","35.50","0.00","35.50","6.21"
"04/01/2022 18:00 - 04/01/2022 19:00","MBA|NO1","FCR","32.70","0.00","32.70","7.36"
"04/01/2022 19:00 - 04/01/2022 20:00","MBA|NO1","FCR","42.60","0.00","42.60","8.52"
"04/01/2022 20:00 - 04/01/2022 21:00","MBA|NO1","FCR","29.60","0.00","29.60","5.92"
"04/01/2022 21:00 - 04/01/2022 22:00","MBA|NO1","FCR","33.50","1.68","33.50",""
"04/01/2022 22:00 - 04/01/2022 23:00","MBA|NO1","FCR","33.60","0.00","33.60",""
"04/01/2022 23:00 - 05/01/2022 00:00","MBA|NO1","FCR","32.60","0.00","32.60","4.08"
"05/01/2022 00:00 - 05/01/2022 01:00","MBA|NO1","FCR","39.60","12.87","39.60",""
"05/01/2022 01:00 - 05/01/2022 02:00","MBA|NO1","FCR","34.10","0.00","34.10","14.49"
"05/01/2022 02:00 - 05/01/2022 03:00","MBA|NO1","FCR","36.30","2.72","36.30",""
"05/01/2022 03:00 - 05/01/2022 04:00","MBA|NO1","FCR","36.50","10.04","36.50",""
"05/01/2022 04:00 - 05/01/2022 05:00","MBA|NO1","FCR","35.70","2.68","35.70",""
"05/01/2022 05:00 - 05/01/2022 06:00","MBA|NO1","FCR","33.70","0.00","33.70",""
"05/01/2022 06:00 - 05/01/2022 07:00","MBA|NO1","FCR","40.60","16.24","40.60",""
"05/01/2022 07:00 - 05/01/2022 08:00","MBA|NO1","FCR","38.40","23.04","38.40",""
"05/01/2022 08:00 - 05/01/2022 09:00","MBA|NO1","FCR","36.70","0.00","36.70","9.18"
"05/01/2022 09:00 - 05/01/2022 10:00","MBA|NO1","FCR","35.60","5.34","35.60",""
"05/01/2022 10:00 - 05/01/2022 11:00","MBA|NO1","FCR","36.60","0.00","36.60","4.58"
"05/01/2022 11:00 - 05/01/2022 12:00","MBA|NO1","FCR","38.70","0.00","38.70","8.71"
"05/01/2022 12:00 - 05/01/2022 13:00","MBA|NO1","FCR","36.60","0.00","36.60","7.32"
"05/01/2022 13:00 - 05/01/2022 14:00","MBA|NO1","FCR","38.60","0.00","38.60","3.86"
"05/01/2022 14:00 - 05/01/2022 15:00","MBA|NO1","FCR","39.50","0.00","39.50","2.96"
"05/01/2022 15:00 - 05/01/2022 16:00","MBA|NO1","FCR","44.80","19.04","44.80",""
"05/01/2022 16:00 - 05/01/2022 17:00","MBA|NO1","FCR","39.60","0.00","39.60","5.94"
"05/01/2022 17:00 - 05/01/2022 18:00","MBA|NO1","FCR","34.60","0.00","34.60","2.60"
"05/01/2022 18:00 - 05/01/2022 19:00","MBA|NO1","FCR","35.40","0.00","35.40","5.31"
"05/01/2022 19:00 - 05/01/2022 20:00","MBA|NO1","FCR","36.60","0.00","36.60","11.90"
"05/01/2022 20:00 - 05/01/2022 21:00","MBA|NO1","FCR","36.70","0.00","36.70","3.67"
"05/01/2022 21:00 - 05/01/2022 22:00","MBA|NO1","FCR","40.70","0.00","40.70","4.07"
"05/01/2022 22:00 - 05/01/2022 23:00","MBA|NO1","FCR","36.60","0.00","36.60","5.49"
"05/01/2022 23:00 - 06/01/2022 00:00","MBA|NO1","FCR","37.60","0.00","37.60","3.76"
"06/01/2022 00:00 - 06/01/2022 01:00","MBA|NO1","FCR","36.70","0.00","36.70","10.09"
"06/01/2022 01:00 - 06/01/2022 02:00","MBA|NO1","FCR","34.00","0.00","34.00","8.50"
"06/01/2022 02:00 - 06/01/2022 03:00","MBA|NO1","FCR","31.10","0.00","31.10","3.89"
"06/01/2022 03:00 - 06/01/2022 04:00","MBA|NO1","FCR","35.00","8.75","35.00",""
"06/01/2022 04:00 - 06/01/2022 05:00","MBA|NO1","FCR","36.00","0.90","36.00",""
"06/01/2022 05:00 - 06/01/2022 06:00","MBA|NO1","FCR","33.90","0.00","33.90","7.63"
"06/01/2022 06:00 - 06/01/2022 07:00","MBA|NO1","FCR","34.20","0.00","34.20",""
"06/01/2022 07:00 - 06/01/2022 08:00","MBA|NO1","FCR","37.00","2.78","37.00",""
"06/01/2022 08:00 - 06/01/2022 09:00","MBA|NO1","FCR","34.00","1.70","34.00",""
"06/01/2022 09:00 - 06/01/2022 10:00","MBA|NO1","FCR","33.10","6.62","33.10",""
"06/01/2022 10:00 - 06/01/2022 11:00","MBA|NO1","FCR","33.60","4.20","33.60",""
"06/01/2022 11:00 - 06/01/2022 12:00","MBA|NO1","FCR","33.70","0.00","33.70","4.21"
"06/01/2022 12:00 - 06/01/2022 13:00","MBA|NO1","FCR","33.10","0.00","33.10","9.10"
"06/01/2022 13:00 - 06/01/2022 14:00","MBA|NO1","FCR","33.00","0.00","33.00","5.78"
"06/01/2022 14:00 - 06/01/2022 15:00","MBA|NO1","FCR","35.10","3.51","35.10",""
"06/01/2022 15:00 - 06/01/2022 16:00","MBA|NO1","FCR","37.60","5.64","37.60",""
"06/01/2022 16:00 - 06/01/2022 17:00","MBA|NO1","FCR","34.60","4.33","34.60",""
"06/01/2022 17:00 - 06/01/2022 18:00","MBA|NO1","FCR","35.70","1.79","35.70",""
"06/01/2022 18:00 - 06/01/2022 19:00","MBA|NO1","FCR","32.60","0.00","32.60","9.78"
"06/01/2022 19:00 - 06/01/2022 20:00","MBA|NO1","FCR","32.70","0.00","32.70","7.36"
"06/01/2022 20:00 - 06/01/2022 21:00","MBA|NO1","FCR","38.70","8.71","38.70",""
"06/01/2022 21:00 - 06/01/2022 22:00","MBA|NO1","FCR","36.60","23.79","36.60",""
"06/01/2022 22:00 - 06/01/2022 23:00","MBA|NO1","FCR","39.50","2.96","39.50",""
"06/01/2022 23:00 - 07/01/2022 00:00","MBA|NO1","FCR","41.70","3.13","41.70",""
"07/01/2022 00:00 - 07/01/2022 01:00","MBA|NO1","FCR","38.80","0.00","38.80","1.94"
"07/01/2022 01:00 - 07/01/2022 02:00","MBA|NO1","FCR","41.60","17.68","41.60",""
"07/01/2022 02:00 - 07/01/2022 03:00","MBA|NO1","FCR","41.70","13.55","41.70",""
"07/01/2022 03:00 - 07/01/2022 04:00","MBA|NO1","FCR","43.60","21.80","43.60",""
"07/01/2022 04:00 - 07/01/2022 05:00","MBA|NO1","FCR","42.80","0.00","42.80","10.70"
"07/01/2022 05:00 - 07/01/2022 06:00","MBA|NO1","FCR","36.70","0.00","36.70","14.68"
"07/01/2022 06:00 - 07/01/2022 07:00","MBA|NO1","FCR","44.20","0.00","44.20","1.11"
"07/01/2022 07:00 - 07/01/2022 08:00","MBA|NO1","FCR","43.80","3.29","43.80",""
"07/01/2022 08:00 - 07/01/2022 09:00","MBA|NO1","FCR","42.10","0.00","42.10","4.21"
"07/01/2022 09:00 - 07/01/2022 10:00","MBA|NO1","FCR","40.20","0.00","40.20","1.01"
"07/01/2022 10:00 - 07/01/2022 11:00","MBA|NO1","FCR","40.20","0.00","40.20","2.01"
"07/01/2022 11:00 - 07/01/2022 12:00","MBA|NO1","FCR","40.10","0.00","40.10",""
"07/01/2022 12:00 - 07/01/2022 13:00","MBA|NO1","FCR","36.10","0.00","36.10","2.71"
"07/01/2022 13:00 - 07/01/2022 14:00","MBA|NO1","FCR","38.20","0.00","38.20","0.96"
"07/01/2022 14:00 - 07/01/2022 15:00","MBA|NO1","FCR","36.10","0.00","36.10",""
"07/01/2022 15:00 - 07/01/2022 16:00","MBA|NO1","FCR","37.20","1.86","37.20",""
"07/01/2022 16:00 - 07/01/2022 17:00","MBA|NO1","FCR","37.00","0.00","37.00","9.25"
"07/01/2022 17:00 - 07/01/2022 18:00","MBA|NO1","FCR","37.20","0.00","37.20","3.72"
"07/01/2022 18:00 - 07/01/2022 19:00","MBA|NO1","FCR","37.00","0.00","37.00","9.25"
"07/01/2022 19:00 - 07/01/2022 20:00","MBA|NO1","FCR","37.40","0.00","37.40","0.94"
"07/01/2022 20:00 - 07/01/2022 21:00","MBA|NO1","FCR","38.00","0.00","38.00","6.65"
"07/01/2022 21:00 - 07/01/2022 22:00","MBA|NO1","FCR","39.10","1.96","39.10",""
"07/01/2022 22:00 - 07/01/2022 23:00","MBA|NO1","FCR","40.90","0.00","40.90",""
"07/01/2022 23:00 - 08/01/2022 00:00","MBA|NO1","FCR","43.10","1.08","43.10",""
"08/01/2022 00:00 - 08/01/2022 01:00","MBA|NO1","FCR","42.20","0.00","42.20","1.06"
"08/01/2022 01:00 - 08/01/2022 02:00","MBA|NO1","FCR","44.10","0.00","44.10","19.85"
"08/01/2022 02:00 - 08/01/2022 03:00","MBA|NO1","FCR","45.10","0.00","45.10","5.64"
"08/01/2022 03:00 - 08/01/2022 04:00","MBA|NO1","FCR","45.10","21.42","45.10",""
"08/01/2022 04:00 - 08/01/2022 05:00","MBA|NO1","FCR","49.30","22.19","49.30",""
"08/01/2022 05:00 - 08/01/2022 06:00","MBA|NO1","FCR","44.10","0.00","44.10",""
"08/01/2022 06:00 - 08/01/2022 07:00","MBA|NO1","FCR","47.00","0.00","47.00",""
"08/01/2022 07:00 - 08/01/2022 08:00","MBA|NO1","FCR","44.70","0.00","44.70",""
"08/01/2022 08:00 - 08/01/2022 09:00","MBA|NO1","FCR","45.00","2.25","45.00",""
"08/01/2022 09:00 - 08/01/2022 10:00","MBA|NO1","FCR","45.00","10.13","45.00",""
"08/01/2022 10:00 - 08/01/2022 11:00","MBA|NO1","FCR","38.90","0.00","38.90","0.97"
"08/01/2022 11:00 - 08/01/2022 12:00","MBA|NO1","FCR","38.00","8.55","38.00",""
"08/01/2022 12:00 - 08/01/2022 13:00","MBA|NO1","FCR","37.80","0.00","37.80","3.78"
"08/01/2022 13:00 - 08/01/2022 14:00","MBA|NO1","FCR","38.90","0.00","38.90","0.97"
"08/01/2022 14:00 - 08/01/2022 15:00","MBA|NO1","FCR","39.00","5.85","39.00",""
"08/01/2022 15:00 - 08/01/2022 16:00","MBA|NO1","FCR","40.00","0.00","40.00","4.00"
"08/01/2022 16:00 - 08/01/2022 17:00","MBA|NO1","FCR","43.80","0.00","43.80","12.05"
"08/01/2022 17:00 - 08/01/2022 18:00","MBA|NO1","FCR","39.90","1.00","39.90",""
"08/01/2022 18:00 - 08/01/2022 19:00","MBA|NO1","FCR","46.80","0.00","46.80","2.34"
"08/01/2022 19:00 - 08/01/2022 20:00","MBA|NO1","FCR","44.10","1.10","44.10",""
"08/01/2022 20:00 - 08/01/2022 21:00","MBA|NO1","FCR","35.10","3.51","35.10",""
"08/01/2022 21:00 - 08/01/2022 22:00","MBA|NO1","FCR","39.10","9.78","39.10",""
"08/01/2022 22:00 - 08/01/2022 23:00","MBA|NO1","FCR","37.90","0.95","37.90",""
"08/01/2022 23:00 - 09/01/2022 00:00","MBA|NO1","FCR","37.20","0.93","37.20",""
"09/01/2022 00:00 - 09/01/2022 01:00","MBA|NO1","FCR","40.70","1.02","40.70",""
"09/01/2022 01:00 - 09/01/2022 02:00","MBA|NO1","FCR","35.60","0.00","35.60","8.90"
"09/01/2022 02:00 - 09/01/2022 03:00","MBA|NO1","FCR","38.60","0.00","38.60","11.58"
"09/01/2022 03:00 - 09/01/2022 04:00","MBA|NO1","FCR","37.50","0.00","37.50","7.50"
"09/01/2022 04:00 - 09/01/2022 05:00","MBA|NO1","FCR","34.80","0.00","34.80","7.83"
"09/01/2022 05:00 - 09/01/2022 06:00","MBA|NO1","FCR","35.60","5.34","35.60",""
"09/01/2022 06:00 - 09/01/2022 07:00","MBA|NO1","FCR","37.10","0.93","37.10",""
"09/01/2022 07:00 - 09/01/2022 08:00","MBA|NO1","FCR","35.20","1.76","35.20",""
"09/01/2022 08:00 - 09/01/2022 09:00","MBA|NO1","FCR","39.10","0.00","39.10","7.82"
"09/01/2022 09:00 - 09/01/2022 10:00","MBA|NO1","FCR","38.20","5.73","38.20",""
"09/01/2022 10:00 - 09/01/2022 11:00","MBA|NO1","FCR","45.10","11.28","45.10",""
"09/01/2022 11:00 - 09/01/2022 12:00","MBA|NO1","FCR","42.10","2.11","42.10",""
"09/01/2022 12:00 - 09/01/2022 13:00","MBA|NO1","FCR","40.10","8.02","40.10",""
"09/01/2022 13:00 - 09/01/2022 14:00","MBA|NO1","FCR","40.20","0.00","40.20",""
"09/01/2022 14:00 - 09/01/2022 15:00","MBA|NO1","FCR","37.10","2.78","37.10",""
"09/01/2022 15:00 - 09/01/2022 16:00","MBA|NO1","FCR","38.20","6.69","38.20",""
"09/01/2022 16:00 - 09/01/2022 17:00","MBA|NO1","FCR","39.80","1.00","39.80",""
"09/01/2022 17:00 - 09/01/2022 18:00","MBA|NO1","FCR","40.20","0.00","40.20","3.02"
"09/01/2022 18:00 - 09/01/2022 19:00","MBA|NO1","FCR","40.10","0.00","40.10","5.01"
"09/01/2022 19:00 - 09/01/2022 20:00","MBA|NO1","FCR","39.10","0.00","39.10","1.96"
"09/01/2022 20:00 - 09/01/2022 21:00","MBA|NO1","FCR","39.10","0.00","39.10","7.82"
"09/01/2022 21:00 - 09/01/2022 22:00","MBA|NO1","FCR","39.20","0.00","39.20","3.92"
"09/01/2022 22:00 - 09/01/2022 23:00","MBA|NO1","FCR","39.20","0.00","39.20","8.82"
"09/01/2022 23:00 - 10/01/2022 00:00","MBA|NO1","FCR","42.20","0.00","42.20","6.33"
"10/01/2022 00:00 - 10/01/2022 01:00","MBA|NO1","FCR","47.20","0.00","47.20","12.98"
"10/01/2022 01:00 - 10/01/2022 02:00","MBA|NO1","FCR","49.10","0.00","49.10","28.23"
"10/01/2022 02:00 - 10/01/2022 03:00","MBA|NO1","FCR","38.10","0.00","38.10","19.05"
"10/01/2022 03:00 - 10/01/2022 04:00","MBA|NO1","FCR","38.10","10.48","38.10",""
"10/01/2022 04:00 - 10/01/2022 05:00","MBA|NO1","FCR","47.20","2.36","47.20",""
"10/01/2022 05:00 - 10/01/2022 06:00","MBA|NO1","FCR","37.10","0.00","37.10","4.64"
"10/01/2022 06:00 - 10/01/2022 07:00","MBA|NO1","FCR","36.20","3.62","36.20",""
"10/01/2022 07:00 - 10/01/2022 08:00","MBA|NO1","FCR","39.20","3.92","39.20",""
"10/01/2022 08:00 - 10/01/2022 09:00","MBA|NO1","FCR","41.20","7.21","41.20",""
"10/01/2022 09:00 - 10/01/2022 10:00","MBA|NO1","FCR","41.10","0.00","41.10","4.11"
"10/01/2022 10:00 - 10/01/2022 11:00","MBA|NO1","FCR","41.10","0.00","41.10","8.22"
"10/01/2022 11:00 - 10/01/2022 12:00","MBA|NO1","FCR","39.10","0.00","39.10","1.96"
"10/01/2022 12:00 - 10/01/2022 13:00","MBA|NO1","FCR","41.20","7.21","41.20",""
"10/01/2022 13:00 - 10/01/2022 14:00","MBA|NO1","FCR","40.00","0.00","40.00","5.00"
"10/01/2022 14:00 - 10/01/2022 15:00","MBA|NO1","FCR","36.20","0.00","36.20","18.10"
"10/01/2022 15:00 - 10/01/2022 16:00","MBA|NO1","FCR","35.70","7.14","35.70",""
"10/01/2022 16:00 - 10/01/2022 17:00","MBA|NO1","FCR","36.10","16.25","36.10",""
"10/01/2022 17:00 - 10/01/2022 18:00","MBA|NO1","FCR","36.20","7.24","36.20",""
"10/01/2022 18:00 - 10/01/2022 19:00","MBA|NO1","FCR","39.20","4.90","39.20",""
"10/01/2022 19:00 - 10/01/2022 20:00","MBA|NO1","FCR","36.20","0.91","36.20",""
"10/01/2022 20:00 - 10/01/2022 21:00","MBA|NO1","FCR","36.00","0.00","36.00","4.50"
"10/01/2022 21:00 - 10/01/2022 22:00","MBA|NO1","FCR","36.20","11.77","36.20",""
"10/01/2022 22:00 - 10/01/2022 23:00","MBA|NO1","FCR","35.10","0.00","35.10","9.65"
"10/01/2022 23:00 - 11/01/2022 00:00","MBA|NO1","FCR","40.10","0.00","40.10","14.04"
"11/01/2022 00:00 - 11/01/2022 01:00","MBA|NO1","FCR","42.20","11.61","42.20",""
"11/01/2022 01:00 - 11/01/2022 02:00","MBA|NO1","FCR","47.10","15.31","47.10",""
"11/01/2022 02:00 - 11/01/2022 03:00","MBA|NO1","FCR","47.10","0.00","47.10","1.18"
"11/01/2022 03:00 - 11/01/2022 04:00","MBA|NO1","FCR","43.10","0.00","43.10","12.93"
"11/01/2022 04:00 - 11/01/2022 05:00","MBA|NO1","FCR","45.20","10.17","45.20",""
"11/01/2022 05:00 - 11/01/2022 06:00","MBA|NO1","FCR","41.10","7.19","41.10",""
"11/01/2022 06:00 - 11/01/2022 07:00","MBA|NO1","FCR","45.20","9.04","45.20",""
"11/01/2022 07:00 - 11/01/2022 08:00","MBA|NO1","FCR","43.80","2.19","43.80",""
"11/01/2022 08:00 - 11/01/2022 09:00","MBA|NO1","FCR","42.80","0.00","42.80","19.26"
"11/01/2022 09:00 - 11/01/2022 10:00","MBA|NO1","FCR","42.00","0.00","42.00","3.15"
"11/01/2022 10:00 - 11/01/2022 11:00","MBA|NO1","FCR","43.00","7.53","43.00",""
"11/01/2022 11:00 - 11/01/2022 12:00","MBA|NO1","FCR","48.00","0.00","48.00","1.20"
"11/01/2022 12:00 - 11/01/2022 13:00","MBA|NO1","FCR","47.70","0.00","47.70","9.54"
"11/01/2022 13:00 - 11/01/2022 14:00","MBA|NO1","FCR","48.90","8.56","48.90",""
"11/01/2022 14:00 - 11/01/2022 15:00","MBA|NO1","FCR","48.80","7.32","48.80",""
"11/01/2022 15:00 - 11/01/2022 16:00","MBA|NO1","FCR","47.00","0.00","47.00","10.58"
"11/01/2022 16:00 - 11/01/2022 17:00","MBA|NO1","FCR","44.00","0.00","44.00","1.10"
"11/01/2022 17:00 - 11/01/2022 18:00","MBA|NO1","FCR","42.90","4.29","42.90",""
"11/01/2022 18:00 - 11/01/2022 19:00","MBA|NO1","FCR","45.00","1.13","45.00",""
"11/01/2022 19:00 - 11/01/2022 20:00","MBA|NO1","FCR","44.90","5.61","44.90",""
"11/01/2022 20:00 - 11/01/2022 21:00","MBA|NO1","FCR","44.80","0.00","44.80","2.24"
"11/01/2022 21:00 - 11/01/2022 22:00","MBA|NO1","FCR","43.90","7.68","43.90",""
