"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2015 00:00 - 01/01/2015 01:00","MBA|NO1","FCR","47.00","39.34","47.00",""
"01/01/2015 01:00 - 01/01/2015 02:00","MBA|NO1","FCR","49.00","11.20","49.00",""
"01/01/2015 02:00 - 01/01/2015 03:00","MBA|NO1","FCR","49.00","","49.00","8.40"
"01/01/2015 03:00 - 01/01/2015 04:00","MBA|NO1","FCR","49.00","","49.00","1.40"
"01/01/2015 04:00 - 01/01/2015 05:00","MBA|NO1","FCR","49.00","4.20","49.00",""
"01/01/2015 05:00 - 01/01/2015 06:00","MBA|NO1","FCR","49.00","","49.00","8.40"
"01/01/2015 06:00 - 01/01/2015 07:00","MBA|NO1","FCR","44.00","","44.00","20.48"
"01/01/2015 07:00 - 01/01/2015 08:00","MBA|NO1","FCR","44.00","0.00","44.00",""
"01/01/2015 08:00 - 01/01/2015 09:00","MBA|NO1","FCR","52.00","","52.00","22.01"
"01/01/2015 09:00 - 01/01/2015 10:00","MBA|NO1","FCR","53.00","","53.00","8.96"
"01/01/2015 10:00 - 01/01/2015 11:00","MBA|NO1","FCR","53.00","2.99","53.00",""
"01/01/2015 11:00 - 01/01/2015 12:00","MBA|NO1","FCR","53.00","11.94","53.00",""
"01/01/2015 12:00 - 01/01/2015 13:00","MBA|NO1","FCR","50.00","18.40","50.00",""
"01/01/2015 13:00 - 01/01/2015 14:00","MBA|NO1","FCR","50.00","28.30","50.00",""
"01/01/2015 14:00 - 01/01/2015 15:00","MBA|NO1","FCR","50.00","33.96","50.00",""
"01/01/2015 15:00 - 01/01/2015 16:00","MBA|NO1","FCR","48.00","16.98","48.00",""
"01/01/2015 16:00 - 01/01/2015 17:00","MBA|NO1","FCR","54.00","13.61","54.00",""
"01/01/2015 17:00 - 01/01/2015 18:00","MBA|NO1","FCR","54.00","24.20","54.00",""
"01/01/2015 18:00 - 01/01/2015 19:00","MBA|NO1","FCR","54.00","4.54","54.00",""
"01/01/2015 19:00 - 01/01/2015 20:00","MBA|NO1","FCR","47.00","9.52","47.00",""
"01/01/2015 20:00 - 01/01/2015 21:00","MBA|NO1","FCR","49.00","","49.00","4.28"
"01/01/2015 21:00 - 01/01/2015 22:00","MBA|NO1","FCR","46.00","4.04","46.00",""
"01/01/2015 22:00 - 01/01/2015 23:00","MBA|NO1","FCR","50.00","","50.00","13.10"
"01/01/2015 23:00 - 02/01/2015 00:00","MBA|NO1","FCR","49.00","","49.00","2.86"
"02/01/2015 00:00 - 02/01/2015 01:00","MBA|NO1","FCR","51.00","4.15","51.00",""
"02/01/2015 01:00 - 02/01/2015 02:00","MBA|NO1","FCR","53.00","15.54","53.00",""
"02/01/2015 02:00 - 02/01/2015 03:00","MBA|NO1","FCR","53.00","","53.00","4.24"
