"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"01/01/2018 00:00 - 01/01/2018 01:00","MBA|NO1","FCR","33.80","0.00","33.80","13.40"
"01/01/2018 01:00 - 01/01/2018 02:00","MBA|NO1","FCR","35.70","0.00","35.70","6.63"
"01/01/2018 02:00 - 01/01/2018 03:00","MBA|NO1","FCR","35.70","0.00","35.70","10.43"
"01/01/2018 03:00 - 01/01/2018 04:00","MBA|NO1","FCR","33.80","0.00","33.80","9.83"
"01/01/2018 04:00 - 01/01/2018 05:00","MBA|NO1","FCR","33.70","10.71","33.70",""
"01/01/2018 05:00 - 01/01/2018 06:00","MBA|NO1","FCR","33.90","13.40","33.90",""
"01/01/2018 06:00 - 01/01/2018 07:00","MBA|NO1","FCR","35.80","14.34","35.80",""
"01/01/2018 07:00 - 01/01/2018 08:00","MBA|NO1","FCR","30.50","0.00","30.50","17.93"
"01/01/2018 08:00 - 01/01/2018 09:00","MBA|NO1","FCR","37.00","0.00","37.00","18.49"
"01/01/2018 09:00 - 01/01/2018 10:00","MBA|NO1","FCR","37.40","0.00","37.40","2.95"
"01/01/2018 10:00 - 01/01/2018 11:00","MBA|NO1","FCR","38.30","4.03","38.30",""
"01/01/2018 11:00 - 01/01/2018 12:00","MBA|NO1","FCR","38.40","0.00","38.40",""
"01/01/2018 12:00 - 01/01/2018 13:00","MBA|NO1","FCR","39.30","11.31","39.30",""
"01/01/2018 13:00 - 01/01/2018 14:00","MBA|NO1","FCR","37.30","16.74","37.30",""
"01/01/2018 14:00 - 01/01/2018 15:00","MBA|NO1","FCR","37.40","9.86","37.40",""
"01/01/2018 15:00 - 01/01/2018 16:00","MBA|NO1","FCR","37.40","8.87","37.40",""
"01/01/2018 16:00 - 01/01/2018 17:00","MBA|NO1","FCR","38.30","1.02","38.30",""
"01/01/2018 17:00 - 01/01/2018 18:00","MBA|NO1","FCR","35.40","0.95","35.40",""
"01/01/2018 18:00 - 01/01/2018 19:00","MBA|NO1","FCR","34.30","0.00","34.30","3.65"
"01/01/2018 19:00 - 01/01/2018 20:00","MBA|NO1","FCR","39.30","0.00","39.30","20.76"
"01/01/2018 20:00 - 01/01/2018 21:00","MBA|NO1","FCR","36.40","0.00","36.40","8.60"
"01/01/2018 21:00 - 01/01/2018 22:00","MBA|NO1","FCR","39.30","3.11","39.30",""
"01/01/2018 22:00 - 01/01/2018 23:00","MBA|NO1","FCR","43.60","0.00","43.60","25.88"
"01/01/2018 23:00 - 02/01/2018 00:00","MBA|NO1","FCR","38.40","0.00","38.40","25.33"
"02/01/2018 00:00 - 02/01/2018 01:00","MBA|NO1","FCR","36.40","0.00","36.40","20.52"
"02/01/2018 01:00 - 02/01/2018 02:00","MBA|NO1","FCR","38.30","2.97","38.30",""
"02/01/2018 02:00 - 02/01/2018 03:00","MBA|NO1","FCR","38.30","13.86","38.30",""
"02/01/2018 03:00 - 02/01/2018 04:00","MBA|NO1","FCR","38.40","22.78","38.40",""
"02/01/2018 04:00 - 02/01/2018 05:00","MBA|NO1","FCR","38.30","0.00","38.30","1.98"
"02/01/2018 05:00 - 02/01/2018 06:00","MBA|NO1","FCR","38.40","0.00","38.40","22.78"
"02/01/2018 06:00 - 02/01/2018 07:00","MBA|NO1","FCR","39.90","0.00","39.90","4.13"
"02/01/2018 07:00 - 02/01/2018 08:00","MBA|NO1","FCR","49.40","0.00","49.40","7.52"
"02/01/2018 08:00 - 02/01/2018 09:00","MBA|NO1","FCR","52.80","0.00","52.80","7.93"
"02/01/2018 09:00 - 02/01/2018 10:00","MBA|NO1","FCR","53.90","15.19","53.90",""
"02/01/2018 10:00 - 02/01/2018 11:00","MBA|NO1","FCR","53.70","17.73","53.70",""
"02/01/2018 11:00 - 02/01/2018 12:00","MBA|NO1","FCR","52.80","23.18","52.80",""
