"ISP (CET/CEST)","Area","Reserve Type","Regulation Up - Accepted [17.1.D] (MW)","Regulation Up - Activated [17.1.E] (MWh)","Regulation Down - Accepted [17.1.D] (MW)","Regulation Down - Activated [17.1.E] (MWh)"
"02/01/2018 12:00 - 02/01/2018 13:00","MBA|NO1","FCR","50.80","7.84","50.80",""
"02/01/2018 13:00 - 02/01/2018 14:00","MBA|NO1","FCR","51.80","0.00","51.80","6.76"
"02/01/2018 14:00 - 02/01/2018 15:00","MBA|NO1","FCR","50.80","0.00","50.80","11.84"
"02/01/2018 15:00 - 02/01/2018 16:00","MBA|NO1","FCR","51.80","0.00","51.80",""
"02/01/2018 16:00 - 02/01/2018 17:00","MBA|NO1","FCR","54.80","1.40","54.80",""
"02/01/2018 17:00 - 02/01/2018 18:00","MBA|NO1","FCR","54.70","0.00","54.70","4.20"
"02/01/2018 18:00 - 02/01/2018 19:00","MBA|NO1","FCR","54.90","0.00","54.90","5.57"
"02/01/2018 19:00 - 02/01/2018 20:00","MBA|NO1","FCR","55.70","0.00","55.70","28.27"
"02/01/2018 20:00 - 02/01/2018 21:00","MBA|NO1","FCR","53.80","0.00","53.80","35.00"
"02/01/2018 21:00 - 02/01/2018 22:00","MBA|NO1","FCR","45.90","0.00","45.90","32.03"
"02/01/2018 22:00 - 02/01/2018 23:00","MBA|NO1","FCR","44.40","0.00","44.40","26.19"
"02/01/2018 23:00 - 03/01/2018 00:00","MBA|NO1","FCR","44.80","0.00","44.80","15.94"
"03/01/2018 00:00 - 03/01/2018 01:00","MBA|NO1","FCR","44.80","0.00","44.80","17.98"
"03/01/2018 01:00 - 03/01/2018 02:00","MBA|NO1","FCR","43.80","0.00","43.80","10.99"
"03/01/2018 02:00 - 03/01/2018 03:00","MBA|NO1","FCR","43.70","0.00","43.70","8.79"
"03/01/2018 03:00 - 03/01/2018 04:00","MBA|NO1","FCR","43.80","0.00","43.80",""
"03/01/2018 04:00 - 03/01/2018 05:00","MBA|NO1","FCR","43.80","3.30","43.80",""
"03/01/2018 05:00 - 03/01/2018 06:00","MBA|NO1","FCR","46.80","3.51","46.80",""
"03/01/2018 06:00 - 03/01/2018 07:00","MBA|NO1","FCR","48.80","6.08","48.80",""
"03/01/2018 07:00 - 03/01/2018 08:00","MBA|NO1","FCR","46.80","14.59","46.80",""
"03/01/2018 08:00 - 03/01/2018 09:00","MBA|NO1","FCR","52.70","0.00","52.70","32.54"
"03/01/2018 09:00 - 03/01/2018 10:00","MBA|NO1","FCR","51.90","6.61","51.90",""
"03/01/2018 10:00 - 03/01/2018 11:00","MBA|NO1","FCR","41.80","25.95","41.80",""
"03/01/2018 11:00 - 03/01/2018 12:00","MBA|NO1","FCR","49.80","15.37","49.80",""
"03/01/2018 12:00 - 03/01/2018 13:00","MBA|NO1","FCR","44.80","18.74","44.80",""
"03/01/2018 13:00 - 03/01/2018 14:00","MBA|NO1","FCR","50.80","19.25","50.80",""
"03/01/2018 14:00 - 03/01/2018 15:00","MBA|NO1","FCR","50.80","25.83","50.80",""
"03/01/2018 15:00 - 03/01/2018 16:00","MBA|NO1","FCR","51.80","0.00","51.80","5.33"
"03/01/2018 16:00 - 03/01/2018 17:00","MBA|NO1","FCR","52.70","2.75","52.70",""
"03/01/2018 17:00 - 03/01/2018 18:00","MBA|NO1","FCR","50.90","0.00","50.90",""
"03/01/2018 18:00 - 03/01/2018 19:00","MBA|NO1","FCR","54.70","0.00","54.70","5.58"
"03/01/2018 19:00 - 03/01/2018 20:00","MBA|NO1","FCR","51.80","0.00","51.80","28.63"
"03/01/2018 20:00 - 03/01/2018 21:00","MBA|NO1","FCR","47.90","0.00","47.90","18.54"
"03/01/2018 21:00 - 03/01/2018 22:00","MBA|NO1","FCR","51.40","3.93","51.40",""
"03/01/2018 22:00 - 03/01/2018 23:00","MBA|NO1","FCR","37.80","1.01","37.80",""
"03/01/2018 23:00 - 04/01/2018 00:00","MBA|NO1","FCR","42.80","0.00","42.80","8.89"
"04/01/2018 00:00 - 04/01/2018 01:00","MBA|NO1","FCR","38.40","11.72","38.40",""
"04/01/2018 01:00 - 04/01/2018 02:00","MBA|NO1","FCR","38.40","4.88","38.40",""
"04/01/2018 02:00 - 04/01/2018 03:00","MBA|NO1","FCR","38.30","0.00","38.30","6.83"
"04/01/2018 03:00 - 04/01/2018 04:00","MBA|NO1","FCR","38.50","0.00","38.50","25.38"
"04/01/2018 04:00 - 04/01/2018 05:00","MBA|NO1","FCR","38.30","0.00","38.30","10.74"
"04/01/2018 05:00 - 04/01/2018 06:00","MBA|NO1","FCR","38.40","0.00","38.40","0.95"
"04/01/2018 06:00 - 04/01/2018 07:00","MBA|NO1","FCR","46.50","9.21","46.50",""
"04/01/2018 07:00 - 04/01/2018 08:00","MBA|NO1","FCR","48.00","3.75","48.00",""
"04/01/2018 08:00 - 04/01/2018 09:00","MBA|NO1","FCR","49.40","0.00","49.40","5.11"
"04/01/2018 09:00 - 04/01/2018 10:00","MBA|NO1","FCR","49.40","0.00","49.40","14.04"
"04/01/2018 10:00 - 04/01/2018 11:00","MBA|NO1","FCR","53.30","8.51","53.30",""
"04/01/2018 11:00 - 04/01/2018 12:00","MBA|NO1","FCR","49.40","6.44","49.40",""
"04/01/2018 12:00 - 04/01/2018 13:00","MBA|NO1","FCR","48.40","5.07","48.40",""
"04/01/2018 13:00 - 04/01/2018 14:00","MBA|NO1","FCR","48.40","0.00","48.40","1.27"
"04/01/2018 14:00 - 04/01/2018 15:00","MBA|NO1","FCR","47.40","8.85","47.40",""
"04/01/2018 15:00 - 04/01/2018 16:00","MBA|NO1","FCR","45.40","18.21","45.40",""
"04/01/2018 16:00 - 04/01/2018 17:00","MBA|NO1","FCR","47.40","0.00","47.40","2.49"
"04/01/2018 17:00 - 04/01/2018 18:00","MBA|NO1","FCR","47.40","0.00","47.40","1.25"
"04/01/2018 18:00 - 04/01/2018 19:00","MBA|NO1","FCR","48.30","0.00","48.30","1.27"
"04/01/2018 19:00 - 04/01/2018 20:00","MBA|NO1","FCR","49.50","4.97","49.50",""
"04/01/2018 20:00 - 04/01/2018 21:00","MBA|NO1","FCR","45.30","0.00","45.30","24.43"
"04/01/2018 21:00 - 04/01/2018 22:00","MBA|NO1","FCR","44.40","0.00","44.40","8.20"
"04/01/2018 22:00 - 04/01/2018 23:00","MBA|NO1","FCR","47.50","7.28","47.50",""
"04/01/2018 23:00 - 05/01/2018 00:00","MBA|NO1","FCR","39.00","0.00","39.00","32.83"
"05/01/2018 00:00 - 05/01/2018 01:00","MBA|NO1","FCR","44.80","5.54","44.80",""
"05/01/2018 01:00 - 05/01/2018 02:00","MBA|NO1","FCR","44.80","2.22","44.80",""
"05/01/2018 02:00 - 05/01/2018 03:00","MBA|NO1","FCR","41.20","5.33","41.20",""
"05/01/2018 03:00 - 05/01/2018 04:00","MBA|NO1","FCR","42.90","0.00","42.90","3.20"
"05/01/2018 04:00 - 05/01/2018 05:00","MBA|NO1","FCR","42.80","0.00","42.80","2.13"
"05/01/2018 05:00 - 05/01/2018 06:00","MBA|NO1","FCR","41.80","0.00","41.80","6.32"
"05/01/2018 06:00 - 05/01/2018 07:00","MBA|NO1","FCR","42.70","0.00","42.70","2.15"
"05/01/2018 07:00 - 05/01/2018 08:00","MBA|NO1","FCR","47.80","2.37","47.80",""
"05/01/2018 08:00 - 05/01/2018 09:00","MBA|NO1","FCR","49.40","0.00","49.40","18.84"
"05/01/2018 09:00 - 05/01/2018 10:00","MBA|NO1","FCR","43.10","12.63","43.10",""
"05/01/2018 10:00 - 05/01/2018 11:00","MBA|NO1","FCR","43.30","11.49","43.30",""
"05/01/2018 11:00 - 05/01/2018 12:00","MBA|NO1","FCR","54.20","0.00","54.20","9.77"
"05/01/2018 12:00 - 05/01/2018 13:00","MBA|NO1","FCR","40.90","0.00","40.90","2.21"
"05/01/2018 13:00 - 05/01/2018 14:00","MBA|NO1","FCR","42.20","0.00","42.20","12.55"
"05/01/2018 14:00 - 05/01/2018 15:00","MBA|NO1","FCR","45.20","4.86","45.20",""
"05/01/2018 15:00 - 05/01/2018 16:00","MBA|NO1","FCR","45.20","19.42","45.20",""
"05/01/2018 16:00 - 05/01/2018 17:00","MBA|NO1","FCR","45.20","8.50","45.20",""
"05/01/2018 17:00 - 05/01/2018 18:00","MBA|NO1","FCR","46.90","13.35","46.90",""
"05/01/2018 18:00 - 05/01/2018 19:00","MBA|NO1","FCR","46.60","4.85","46.60",""
"05/01/2018 19:00 - 05/01/2018 20:00","MBA|NO1","FCR","44.90","0.00","44.90","5.84"
"05/01/2018 20:00 - 05/01/2018 21:00","MBA|NO1","FCR","49.80","0.00","49.80","19.10"
"05/01/2018 21:00 - 05/01/2018 22:00","MBA|NO1","FCR","46.70","0.00","46.70","2.37"
"05/01/2018 22:00 - 05/01/2018 23:00","MBA|NO1","FCR","38.90","0.00","38.90","3.11"
"05/01/2018 23:00 - 06/01/2018 00:00","MBA|NO1","FCR","41.80","0.00","41.80","9.96"
"06/01/2018 00:00 - 06/01/2018 01:00","MBA|NO1","FCR","44.40","0.00","44.40","2.41"
"06/01/2018 01:00 - 06/01/2018 02:00","MBA|NO1","FCR","43.50","0.00","43.50","5.69"
"06/01/2018 02:00 - 06/01/2018 03:00","MBA|NO1","FCR","41.90","0.00","41.90","5.36"
"06/01/2018 03:00 - 06/01/2018 04:00","MBA|NO1","FCR","38.10","8.00","38.10",""
"06/01/2018 04:00 - 06/01/2018 05:00","MBA|NO1","FCR","39.80","7.18","39.80",""
"06/01/2018 05:00 - 06/01/2018 06:00","MBA|NO1","FCR","40.00","0.00","40.00","15.38"
"06/01/2018 06:00 - 06/01/2018 07:00","MBA|NO1","FCR","42.00","0.00","42.00","10.88"
"06/01/2018 07:00 - 06/01/2018 08:00","MBA|NO1","FCR","36.90","0.00","36.90","5.76"
"06/01/2018 08:00 - 06/01/2018 09:00","MBA|NO1","FCR","36.00","1.94","36.00",""
"06/01/2018 09:00 - 06/01/2018 10:00","MBA|NO1","FCR","45.70","0.00","45.70","11.05"
"06/01/2018 10:00 - 06/01/2018 11:00","MBA|NO1","FCR","43.90","0.00","43.90","2.34"
"06/01/2018 11:00 - 06/01/2018 12:00","MBA|NO1","FCR","38.90","0.00","38.90","1.05"
"06/01/2018 12:00 - 06/01/2018 13:00","MBA|NO1","FCR","42.10","2.25","42.10",""
"06/01/2018 13:00 - 06/01/2018 14:00","MBA|NO1","FCR","35.80","7.76","35.80",""
"06/01/2018 14:00 - 06/01/2018 15:00","MBA|NO1","FCR","44.00","4.72","44.00",""
"06/01/2018 15:00 - 06/01/2018 16:00","MBA|NO1","FCR","37.00","20.11","37.00",""
"06/01/2018 16:00 - 06/01/2018 17:00","MBA|NO1","FCR","40.90","15.40","40.90",""
"06/01/2018 17:00 - 06/01/2018 18:00","MBA|NO1","FCR","47.10","11.08","47.10",""
"06/01/2018 18:00 - 06/01/2018 19:00","MBA|NO1","FCR","44.90","0.00","44.90","13.29"
"06/01/2018 19:00 - 06/01/2018 20:00","MBA|NO1","FCR","47.10","0.00","47.10","11.46"
"06/01/2018 20:00 - 06/01/2018 21:00","MBA|NO1","FCR","51.20","0.00","51.20","21.32"
"06/01/2018 21:00 - 06/01/2018 22:00","MBA|NO1","FCR","48.40","0.00","48.40","1.29"
"06/01/2018 22:00 - 06/01/2018 23:00","MBA|NO1","FCR","46.40","0.00","46.40","14.47"
"06/01/2018 23:00 - 07/01/2018 00:00","MBA|NO1","FCR","46.30","0.00","46.30","26.52"
"07/01/2018 00:00 - 07/01/2018 01:00","MBA|NO1","FCR","30.90","2.71","30.90",""
"07/01/2018 01:00 - 07/01/2018 02:00","MBA|NO1","FCR","28.80","9.28","28.80",""
"07/01/2018 02:00 - 07/01/2018 03:00","MBA|NO1","FCR","31.70","17.41","31.70",""
"07/01/2018 03:00 - 07/01/2018 04:00","MBA|NO1","FCR","38.00","13.51","38.00",""
"07/01/2018 04:00 - 07/01/2018 05:00","MBA|NO1","FCR","37.80","6.23","37.80",""
"07/01/2018 05:00 - 07/01/2018 06:00","MBA|NO1","FCR","34.90","0.00","34.90","5.87"
"07/01/2018 06:00 - 07/01/2018 07:00","MBA|NO1","FCR","31.80","0.00","31.80","5.44"
"07/01/2018 07:00 - 07/01/2018 08:00","MBA|NO1","FCR","36.40","0.00","36.40","15.72"
"07/01/2018 08:00 - 07/01/2018 09:00","MBA|NO1","FCR","33.80","10.21","33.80",""
"07/01/2018 09:00 - 07/01/2018 10:00","MBA|NO1","FCR","33.80","4.64","33.80",""
"07/01/2018 10:00 - 07/01/2018 11:00","MBA|NO1","FCR","33.70","0.00","33.70","17.62"
"07/01/2018 11:00 - 07/01/2018 12:00","MBA|NO1","FCR","31.90","0.00","31.90","0.88"
"07/01/2018 12:00 - 07/01/2018 13:00","MBA|NO1","FCR","30.80","7.61","30.80",""
"07/01/2018 13:00 - 07/01/2018 14:00","MBA|NO1","FCR","35.70","0.00","35.70","20.10"
"07/01/2018 14:00 - 07/01/2018 15:00","MBA|NO1","FCR","33.90","0.00","33.90","13.27"
"07/01/2018 15:00 - 07/01/2018 16:00","MBA|NO1","FCR","31.70","15.14","31.70",""
"07/01/2018 16:00 - 07/01/2018 17:00","MBA|NO1","FCR","42.80","5.75","42.80",""
"07/01/2018 17:00 - 07/01/2018 18:00","MBA|NO1","FCR","39.70","4.22","39.70",""
"07/01/2018 18:00 - 07/01/2018 19:00","MBA|NO1","FCR","36.90","0.00","36.90","8.76"
"07/01/2018 19:00 - 07/01/2018 20:00","MBA|NO1","FCR","37.70","0.00","37.70","13.43"
"07/01/2018 20:00 - 07/01/2018 21:00","MBA|NO1","FCR","33.40","0.00","33.40","9.15"
"07/01/2018 21:00 - 07/01/2018 22:00","MBA|NO1","FCR","37.40","0.00","37.40","11.34"
"07/01/2018 22:00 - 07/01/2018 23:00","MBA|NO1","FCR","42.30","3.44","42.30",""
"07/01/2018 23:00 - 08/01/2018 00:00","MBA|NO1","FCR","42.50","0.00","42.50","28.69"
"08/01/2018 00:00 - 08/01/2018 01:00","MBA|NO1","FCR","40.90","0.00","40.90","9.32"
"08/01/2018 01:00 - 08/01/2018 02:00","MBA|NO1","FCR","40.10","11.23","40.10",""
"08/01/2018 02:00 - 08/01/2018 03:00","MBA|NO1","FCR","39.80","19.38","39.80",""
"08/01/2018 03:00 - 08/01/2018 04:00","MBA|NO1","FCR","40.00","25.51","40.00",""
"08/01/2018 04:00 - 08/01/2018 05:00","MBA|NO1","FCR","37.00","1.93","37.00",""
"08/01/2018 05:00 - 08/01/2018 06:00","MBA|NO1","FCR","41.90","5.51","41.90",""
"08/01/2018 06:00 - 08/01/2018 07:00","MBA|NO1","FCR","44.00","0.00","44.00","5.65"
"08/01/2018 07:00 - 08/01/2018 08:00","MBA|NO1","FCR","48.90","0.00","48.90","6.50"
"08/01/2018 08:00 - 08/01/2018 09:00","MBA|NO1","FCR","43.10","0.00","43.10","14.60"
"08/01/2018 09:00 - 08/01/2018 10:00","MBA|NO1","FCR","42.80","0.00","42.80","12.35"
"08/01/2018 10:00 - 08/01/2018 11:00","MBA|NO1","FCR","44.00","13.86","44.00",""
"08/01/2018 11:00 - 08/01/2018 12:00","MBA|NO1","FCR","50.00","19.62","50.00",""
"08/01/2018 12:00 - 08/01/2018 13:00","MBA|NO1","FCR","45.40","0.00","45.40","1.19"
"08/01/2018 13:00 - 08/01/2018 14:00","MBA|NO1","FCR","45.40","1.17","45.40",""
"08/01/2018 14:00 - 08/01/2018 15:00","MBA|NO1","FCR","40.30","10.59","40.30",""
"08/01/2018 15:00 - 08/01/2018 16:00","MBA|NO1","FCR","48.50","11.31","48.50",""
"08/01/2018 16:00 - 08/01/2018 17:00","MBA|NO1","FCR","41.30","10.91","41.30",""
"08/01/2018 17:00 - 08/01/2018 18:00","MBA|NO1","FCR","41.40","13.10","41.40",""
"08/01/2018 18:00 - 08/01/2018 19:00","MBA|NO1","FCR","44.50","4.69","44.50",""
"08/01/2018 19:00 - 08/01/2018 20:00","MBA|NO1","FCR","45.80","0.00","45.80","12.85"
"08/01/2018 20:00 - 08/01/2018 21:00","MBA|NO1","FCR","38.80","0.00","38.80","22.58"
"08/01/2018 21:00 - 08/01/2018 22:00","MBA|NO1","FCR","42.80","1.10","42.80",""
"08/01/2018 22:00 - 08/01/2018 23:00","MBA|NO1","FCR","42.80","2.22","42.80",""
"08/01/2018 23:00 - 09/01/2018 00:00","MBA|NO1","FCR","40.70","0.00","40.70","28.72"
"09/01/2018 00:00 - 09/01/2018 01:00","MBA|NO1","FCR","40.80","30.27","40.80",""
"09/01/2018 01:00 - 09/01/2018 02:00","MBA|NO1","FCR","40.80","13.57","40.80",""
"09/01/2018 02:00 - 09/01/2018 03:00","MBA|NO1","FCR","38.70","9.96","38.70",""
"09/01/2018 03:00 - 09/01/2018 04:00","MBA|NO1","FCR","38.90","18.93","38.90",""
"09/01/2018 04:00 - 09/01/2018 05:00","MBA|NO1","FCR","35.70","6.47","35.70",""
"09/01/2018 05:00 - 09/01/2018 06:00","MBA|NO1","FCR","38.80","6.85","38.80",""
"09/01/2018 06:00 - 09/01/2018 07:00","MBA|NO1","FCR","44.50","6.85","44.50",""
"09/01/2018 07:00 - 09/01/2018 08:00","MBA|NO1","FCR","36.00","13.21","36.00",""
"09/01/2018 08:00 - 09/01/2018 09:00","MBA|NO1","FCR","43.40","0.00","43.40","17.27"
"09/01/2018 09:00 - 09/01/2018 10:00","MBA|NO1","FCR","48.50","0.00","48.50","11.42"
"09/01/2018 10:00 - 09/01/2018 11:00","MBA|NO1","FCR","48.40","5.08","48.40",""
"09/01/2018 11:00 - 09/01/2018 12:00","MBA|NO1","FCR","46.40","0.00","46.40","9.77"
"09/01/2018 12:00 - 09/01/2018 13:00","MBA|NO1","FCR","48.30","0.00","48.30","6.33"
"09/01/2018 13:00 - 09/01/2018 14:00","MBA|NO1","FCR","46.50","0.00","46.50","10.99"
"09/01/2018 14:00 - 09/01/2018 15:00","MBA|NO1","FCR","43.30","0.00","43.30","3.45"
"09/01/2018 15:00 - 09/01/2018 16:00","MBA|NO1","FCR","43.40","6.89","43.40",""
"09/01/2018 16:00 - 09/01/2018 17:00","MBA|NO1","FCR","50.50","0.00","50.50","1.31"
"09/01/2018 17:00 - 09/01/2018 18:00","MBA|NO1","FCR","43.80","0.00","43.80","1.15"
"09/01/2018 18:00 - 09/01/2018 19:00","MBA|NO1","FCR","43.80","4.60","43.80",""
"09/01/2018 19:00 - 09/01/2018 20:00","MBA|NO1","FCR","47.70","6.22","47.70",""
"09/01/2018 20:00 - 09/01/2018 21:00","MBA|NO1","FCR","48.90","3.75","48.90",""
"09/01/2018 21:00 - 09/01/2018 22:00","MBA|NO1","FCR","47.70","12.34","47.70",""
"09/01/2018 22:00 - 09/01/2018 23:00","MBA|NO1","FCR","46.80","0.00","46.80","9.51"
"09/01/2018 23:00 - 10/01/2018 00:00","MBA|NO1","FCR","46.90","0.00","46.90","4.76"
"10/01/2018 00:00 - 10/01/2018 01:00","MBA|NO1","FCR","40.80","9.24","40.80",""
"10/01/2018 01:00 - 10/01/2018 02:00","MBA|NO1","FCR","38.80","12.75","38.80",""
"10/01/2018 02:00 - 10/01/2018 03:00","MBA|NO1","FCR","38.70","0.00","38.70","0.98"
"10/01/2018 03:00 - 10/01/2018 04:00","MBA|NO1","FCR","38.90","15.94","38.90",""
"10/01/2018 04:00 - 10/01/2018 05:00","MBA|NO1","FCR","38.70","0.00","38.70",""
"10/01/2018 05:00 - 10/01/2018 06:00","MBA|NO1","FCR","45.80","8.08","45.80",""
"10/01/2018 06:00 - 10/01/2018 07:00","MBA|NO1","FCR","40.90","15.84","40.90",""
"10/01/2018 07:00 - 10/01/2018 08:00","MBA|NO1","FCR","48.40","13.71","48.40",""
"10/01/2018 08:00 - 10/01/2018 09:00","MBA|NO1","FCR","47.80","0.00","47.80","24.92"
"10/01/2018 09:00 - 10/01/2018 10:00","MBA|NO1","FCR","48.80","0.00","48.80","38.63"
"10/01/2018 10:00 - 10/01/2018 11:00","MBA|NO1","FCR","51.80","0.00","51.80","7.87"
"10/01/2018 11:00 - 10/01/2018 12:00","MBA|NO1","FCR","48.70","0.00","48.70",""
"10/01/2018 12:00 - 10/01/2018 13:00","MBA|NO1","FCR","48.90","0.00","48.90","26.17"
"10/01/2018 13:00 - 10/01/2018 14:00","MBA|NO1","FCR","44.80","0.00","44.80","1.15"
"10/01/2018 14:00 - 10/01/2018 15:00","MBA|NO1","FCR","47.80","22.43","47.80",""
"10/01/2018 15:00 - 10/01/2018 16:00","MBA|NO1","FCR","41.80","11.78","41.80",""
"10/01/2018 16:00 - 10/01/2018 17:00","MBA|NO1","FCR","43.80","0.00","43.80","2.33"
"10/01/2018 17:00 - 10/01/2018 18:00","MBA|NO1","FCR","43.70","0.00","43.70","9.31"
"10/01/2018 18:00 - 10/01/2018 19:00","MBA|NO1","FCR","43.90","3.49","43.90",""
"10/01/2018 19:00 - 10/01/2018 20:00","MBA|NO1","FCR","42.80","13.40","42.80",""
"10/01/2018 20:00 - 10/01/2018 21:00","MBA|NO1","FCR","42.80","0.00","42.80",""
"10/01/2018 21:00 - 10/01/2018 22:00","MBA|NO1","FCR","43.70","0.00","43.70","12.28"
"10/01/2018 22:00 - 10/01/2018 23:00","MBA|NO1","FCR","39.90","0.00","39.90",""
"10/01/2018 23:00 - 11/01/2018 00:00","MBA|NO1","FCR","46.70","0.00","46.70","24.64"
"11/01/2018 00:00 - 11/01/2018 01:00","MBA|NO1","FCR","34.10","0.00","34.10","13.10"
"11/01/2018 01:00 - 11/01/2018 02:00","MBA|NO1","FCR","45.00","0.00","45.00","21.77"
"11/01/2018 02:00 - 11/01/2018 03:00","MBA|NO1","FCR","43.90","0.00","43.90","9.41"
"11/01/2018 03:00 - 11/01/2018 04:00","MBA|NO1","FCR","44.70","0.00","44.70","1.21"
"11/01/2018 04:00 - 11/01/2018 05:00","MBA|NO1","FCR","43.90","0.00","43.90","3.56"
"11/01/2018 05:00 - 11/01/2018 06:00","MBA|NO1","FCR","40.80","0.00","40.80","6.64"
"11/01/2018 06:00 - 11/01/2018 07:00","MBA|NO1","FCR","40.80","0.00","40.80","15.84"
"11/01/2018 07:00 - 11/01/2018 08:00","MBA|NO1","FCR","42.80","0.00","42.80","17.76"
"11/01/2018 08:00 - 11/01/2018 09:00","MBA|NO1","FCR","42.80","1.18","42.80",""
"11/01/2018 09:00 - 11/01/2018 10:00","MBA|NO1","FCR","42.90","2.37","42.90",""
"11/01/2018 10:00 - 11/01/2018 11:00","MBA|NO1","FCR","42.70","20.12","42.70",""
"11/01/2018 11:00 - 11/01/2018 12:00","MBA|NO1","FCR","42.90","13.02","42.90",""
"11/01/2018 12:00 - 11/01/2018 13:00","MBA|NO1","FCR","42.80","0.00","42.80","7.10"
"11/01/2018 13:00 - 11/01/2018 14:00","MBA|NO1","FCR","42.80","2.41","42.80",""
"11/01/2018 14:00 - 11/01/2018 15:00","MBA|NO1","FCR","42.80","4.86","42.80",""
"11/01/2018 15:00 - 11/01/2018 16:00","MBA|NO1","FCR","40.80","11.46","40.80",""
"11/01/2018 16:00 - 11/01/2018 17:00","MBA|NO1","FCR","39.40","0.00","39.40","4.37"
"11/01/2018 17:00 - 11/01/2018 18:00","MBA|NO1","FCR","39.00","3.28","39.00",""
"11/01/2018 18:00 - 11/01/2018 19:00","MBA|NO1","FCR","40.30","0.00","40.30","1.14"
"11/01/2018 19:00 - 11/01/2018 20:00","MBA|NO1","FCR","39.40","3.34","39.40",""
"11/01/2018 20:00 - 11/01/2018 21:00","MBA|NO1","FCR","37.00","9.59","37.00",""
"11/01/2018 21:00 - 11/01/2018 22:00","MBA|NO1","FCR","41.30","0.00","41.30","5.68"
